Base_LAD
11 de agosto de 2022 - 12 de novembro de 2025
Campanha,Tipo de campanha,Dia,Código da moeda,Custo,Conversões,Todas as conv.
red balloon | 2023 | pmax | am | mkt4,Performance Max,2022-12-10,BRL,"36,53","0,00","0,00"
red balloon | 2023 | pmax | ce | mkt4,Performance Max,2022-12-10,BRL,"50,16","0,00","0,00"
red balloon | 2023 | pmax | mg | mkt4,Performance Max,2022-12-10,BRL,"2,25","0,00","0,00"
red balloon | 2023 | pmax | ba | mkt4,Performance Max,2022-12-10,BRL,"26,98","0,00","0,00"
red balloon | 2023 | pmax | pe | mkt4,Performance Max,2022-12-10,BRL,"50,08","0,00","0,00"
red balloon | 2023 | pmax | rs | mkt4,Performance Max,2022-12-10,BRL,"7,68","0,00","0,00"
red balloon | 2023 | pmax | pr | mkt4,Performance Max,2022-12-10,BRL,"9,76","0,00","0,00"
red balloon | 2023 | pmax | go | mkt4,Performance Max,2022-12-10,BRL,"50,08","0,00","0,00"
red balloon | 2023 | pmax | df | mkt4,Performance Max,2022-12-10,BRL,"52,01","0,00","0,00"
red balloon | 2023 | pmax | mt | mkt4,Performance Max,2022-12-10,BRL,"43,01","0,00","0,00"
red balloon | 2023 | pmax | ms | mkt4,Performance Max,2022-12-10,BRL,"39,10","0,00","0,00"
red balloon | 2023 | pesquisa | sp capital | mkt4,Pesquisa,2022-12-11,BRL,"57,96","3,50","3,50"
red balloon | 2023 | pesquisa | mt | mkt4,Pesquisa,2022-12-11,BRL,"20,88","0,00","0,00"
red balloon | 2023 | pesquisa | df | mkt4,Pesquisa,2022-12-11,BRL,"25,19","0,00","0,00"
red balloon | 2023 | pesquisa | sp interior | mkt4,Pesquisa,2022-12-11,BRL,"71,91","3,50","3,50"
red balloon | 2023 | pesquisa | am | mkt4,Pesquisa,2022-12-11,BRL,"29,15","0,00","0,00"
red balloon | 2023 | pesquisa | rj | mkt4,Pesquisa,2022-12-11,BRL,"24,29","0,00","0,00"
red balloon | 2023 | pesquisa | pe | mkt4,Pesquisa,2022-12-11,BRL,"25,32","0,00","0,00"
red balloon | 2023 | pesquisa | mg | mkt4,Pesquisa,2022-12-11,BRL,"25,62","0,00","0,00"
red balloon | 2023 | pesquisa | ba | mkt4,Pesquisa,2022-12-11,BRL,"20,89","1,00","1,00"
red balloon | 2023 | pesquisa | ce | mkt4,Pesquisa,2022-12-11,BRL,"25,02","0,00","0,00"
red balloon | 2023 | pesquisa | rs | mkt4,Pesquisa,2022-12-11,BRL,"27,29","0,00","0,00"
red balloon | 2023 | pesquisa | pr | mkt4,Pesquisa,2022-12-11,BRL,"25,27","0,00","0,00"
red balloon | 2023 | pesquisa | go | mkt4,Pesquisa,2022-12-11,BRL,"27,97","1,00","1,00"
red balloon | 2023 | pesquisa | ms | mkt4,Pesquisa,2022-12-11,BRL,"28,83","0,00","0,00"
red balloon | 2023 | youtube | sp capital | mkt4,Vídeo,2022-12-11,BRL,"80,85","0,00","0,00"
red balloon | 2023 | youtube | rj | mkt4,Vídeo,2022-12-11,BRL,"26,88","0,00","0,00"
red balloon | 2023 | youtube | ce | mkt4,Vídeo,2022-12-11,BRL,"27,31","0,00","0,00"
red balloon | 2023 | youtube | pe | mkt4,Vídeo,2022-12-11,BRL,"36,24","0,00","0,00"
red balloon | 2023 | youtube | rs | mkt4,Vídeo,2022-12-11,BRL,"35,77","0,00","0,00"
red balloon | 2023 | youtube | pr | mkt4,Vídeo,2022-12-11,BRL,"27,11","0,00","0,00"
